"rank","title","rating","year","runTime","genre","votes","gross","director","stars","description"
327,"Focus 2",6.6,2015,105,"Comedy",206330,89.22,"Glenn Ficarra","Will Smith, Margot Robbie, Rodrigo Santoro, Adrian Martinez","In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop."
328,"Don't Breathe",7.1,2016,88,"Crime",206055,44.07,"Fede Alvarez","Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto","Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems."
329,"Hereditary",7.3,2018,127,"Drama",205788,0.35,"Ari Aster","Toni Collette, Milly Shapiro, Gabriel Byrne, Alex Wolff","A grieving family is haunted by tragic and disturbing occurrences."
330,"Jojo Rabbit",7.9,2019,108,"Comedy",205362,58.01,"Taika Waititi","Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi","A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home."
331,"The Lincoln Lawyer",7.3,2011,118,"Crime",205124,336.05,"Brad Furman","Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy","A lawyer defending a wealthy man begins to believe his client is guilty of more than just one crime."
332,"Minions",6.4,2015,91,"Animation",204590,85.71,"Kyle Balda","Sandra Bullock, Jon Hamm, Michael Keaton, Pierre Coffin","Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world."
333,"Alita: Battle Angel",7.3,2019,122,"Action",204487,155.19,"Robert Rodriguez","Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali","A deactivated cyborg is revived, but cannot remember anything of her past life and goes on a quest to find out who she is."
334,"San Andreas",6,2015,114,"Action",203468,355.56,"Brad Peyton","Dwayne Johnson, Carla Gugino, Alexandra Daddario, Colton Haynes","In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey with his ex-wife across the state in order to rescue his daughter."
335,"Aladdin",7,2019,128,"Adventure",203416,8.7,"Guy Ritchie","Will Smith, Mena Massoud, Naomi Scott, Marwan Kenzari","A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true."
336,"The Lobster",7.2,2015,119,"Comedy",203109,100.24,"Yorgos Lanthimos","Colin Farrell, Rachel Weisz, Jessica Barden, Olivia Colman","In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods."
337,"Cowboys & Aliens",6,2011,119,"Action",202483,46,"Jon Favreau","Daniel Craig, Harrison Ford, Olivia Wilde, Abigail Spencer","A spaceship arrives in Arizona, 1873, to take over the Earth, starting with the Wild West region. A posse of cowboys and natives are all that stand in their way."
338,"Gangster Squad",6.7,2013,113,"Action",201784,159.56,"Ruben Fleischer","Sean Penn, Ryan Gosling, Emma Stone, Giovanni Ribisi","It's 1949 Los Angeles, the city is run by gangsters and a malicious mobster, Mickey Cohen. Determined to end the corruption, John O'Mara assembles a team of cops, ready to take down the ruthless leader and restore peace to the city."
339,"Fantastic Beasts: The Crimes of Grindelwald",6.6,2018,134,"Adventure",201018,162.43,"David Yates","Eddie Redmayne, Katherine Waterston, Dan Fogler, Johnny Depp","The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander."
340,"Jason Bourne 1",6.6,2016,123,"Action",200636,51.74,"Paul Greengrass","Matt Damon, Tommy Lee Jones, Alicia Vikander, Vincent Cassel","The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past."
341,"Lion",8,2016,118,"Biography",200481,73.1,"Garth Davis","Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
342,"White House Down",6.4,2013,131,"Action",200362,143.62,"Roland Emmerich","Channing Tatum, Jamie Foxx, Maggie Gyllenhaal, Jason Clarke","While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders."
343,"Rio",6.9,2011,96,"Animation",199695,126.37,"Carlos Saldanha","Jesse Eisenberg, Anne Hathaway, George Lopez, Karen Disher","When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams."
344,"Safe House",6.7,2012,115,"Action",199231,14.67,"Daniel Espinosa","Denzel Washington, Ryan Reynolds, Robert Patrick, Vera Farmiga","A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge."
345,"It Follows",6.8,2014,100,"Horror",198319,57.01,"David Robert Mitchell","Maika Monroe, Keir Gilchrist, Olivia Luccardi, Lili Sepe","A young woman is followed by an unknown supernatural force after a sexual encounter."
346,"American Reunion",6.7,2012,113,"Comedy",197913,102.83,"Jon Hurwitz","Jason Biggs, Alyson Hannigan, Seann William Scott, Chris Klein","Jim, Michelle, Stifler, and their friends reunite in East Great Falls, Michigan for their high school reunion."
347,"Murder on the Orient Express",6.5,2017,114,"Crime",197357,128.34,"Kenneth Branagh","Kenneth Branagh, Pen¨¦lope Cruz, Willem Dafoe, Judi Dench","When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case."
348,"Ghostbusters",5.2,2016,116,"Action",196948,175.08,"Paul Feig","Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones","Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat."
349,"Us 2",6.9,2019,116,"Horror",196924,191.2,"Jordan Peele","Lupita Nyong'o, Winston Duke, Elisabeth Moss, Tim Heidecker","A family's serene beach vacation turns to chaos when their doppelg<U+00E4>ngers appear and begin to terrorize them."
350,"Teenage Mutant Ninja Turtles",5.8,2014,101,"Action",196770,174.34,"Jonathan Liebesman","Megan Fox, Will Arnett, William Fichtner, Noel Fisher","When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home."
351,"Life 1",6.6,2017,104,"Horror",196752,30.23,"Daniel Espinosa","Jake Gyllenhaal, Rebecca Ferguson, Ryan Reynolds, Hiroyuki Sanada","A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth."
352,"Oz the Great and Powerful",6.3,2013,130,"Adventure",195986,234.91,"Sam Raimi","James Franco, Michelle Williams, Rachel Weisz, Mila Kunis","A frustrated circus magician from Kansas is transported to a magical land called Oz, where he will have to fulfill a prophecy to become the king, and release the land from the Wicked Witches using his great (but fake) powers."
353,"The Purge 1",5.7,2013,85,"Horror",195347,64.47,"James DeMonaco","Ethan Hawke, Lena Headey, Max Burkholder, Adelaide Kane","A wealthy family is held hostage for harboring the target of a murderous syndicate during the Purge, a 12-hour period in which any and all crime is legal."
354,"Pain & Gain",6.4,2013,129,"Action",195345,49.88,"Michael Bay","Mark Wahlberg, Dwayne Johnson, Anthony Mackie, Tony Shalhoub","A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong."
355,"The Fate of the Furious",6.7,2017,136,"Action",195113,226.01,"F. Gary Gray","Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez","When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before."
356,"Me Before You",7.4,2016,106,"Drama",193976,56.25,"Thea Sharrock","Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance","A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of."
357,"A Good Day to Die Hard",5.3,2013,98,"Action",193793,67.35,"John Moore","Bruce Willis, Jai Courtney, Sebastian Koch, Mary Elizabeth Winstead","John McClane travels to Russia to help out his seemingly wayward son, Jack, only to discover that Jack is a CIA operative working undercover, causing the father and son to team up against underworld forces."
358,"Hell or High Water 2",7.6,2016,102,"Action",192572,26.86,"David Mackenzie","Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham","A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas."
359,"Hansel & Gretel: Witch Hunters",6.1,2013,88,"Action",190235,55.7,"Tommy Wirkola","Jeremy Renner, Gemma Arterton, Peter Stormare, Famke Janssen","Hansel & Gretel are bounty hunters who track and kill witches all over the world. As the fabled Blood Moon approaches, the siblings encounter a new form of evil that might hold a secret to their past."
360,"Everest",7.1,2015,121,"Action",189890,43.48,"Baltasar Korm¨¢kur","Jason Clarke, Ang Phula Sherpa, Thomas M. Wright, Martin Henderson","The story of New Zealand's Robert ""Rob"" Edwin Hall, who on May 10, 1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest."
361,"Glass",6.7,2019,129,"Drama",189887,111.05,"M. Night Shyamalan","James McAvoy, Bruce Willis, Samuel L. Jackson, Anya Taylor-Joy","Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities."
362,"2 Guns",6.7,2013,109,"Action",189424,75.61,"Baltasar Korm¨¢kur","Denzel Washington, Mark Wahlberg, Paula Patton, Bill Paxton","Two hardened criminals get into trouble with the US border patrol after meeting with a Mexican drug lord, and then revelations start to unfold."
363,"Game Night 1",6.9,2018,100,"Action",189256,69.18,"John Francis Daley","Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan","A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters."
364,"The Impossible",7.6,2012,114,"Drama",188849,19.02,"J.A. Bayona","Naomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast","The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami."
365,"Call Me by Your Name",7.9,2017,132,"Drama",188665,18.1,"Luca Guadagnino","Armie Hammer, Timoth¨¦e Chalamet, Michael Stuhlbarg, Amira Casar","In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
366,"Wind River",7.7,2017,107,"Crime",188519,33.8,"Taylor Sheridan","Kelsey Asbille, Jeremy Renner, Julia Jones, Teo Briones","A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation."
367,"Ghost in the Shell",6.3,2017,107,"Action",188434,40.56,"Rupert Sanders","Scarlett Johansson, Pilou Asb<U+00E6>k, Takeshi Kitano, Juliette Binoche","In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals."
368,"The Lion King",6.9,2019,118,"Animation",188345,543.64,"Jon Favreau","Donald Glover, Beyonc¨¦, Seth Rogen, Chiwetel Ejiofor","After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery."
369,"BlacKkKlansman",7.5,2018,135,"Biography",187899,49.28,"Spike Lee","John David Washington, Adam Driver, Laura Harrier, Topher Grace","Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events."
370,"Bad Teacher",5.6,2011,92,"Comedy",187820,100.29,"Jake Kasdan","Cameron Diaz, Jason Segel, Justin Timberlake, Lucy Punch","A lazy, incompetent middle school teacher who hates her job, her students, and her co-workers is forced to return to teaching to make enough money for breast implants after her wealthy fianc¨¦ dumps her."
371,"After Earth",4.8,2013,100,"Action",187357,60.52,"M. Night Shyamalan","Jaden Smith, David Denman, Will Smith, Sophie Okonedo","A crash landing leaves Kitai Raige and his father Cypher stranded on Earth, a millennium after events forced humanity's escape. With Cypher injured, Kitai must embark on a perilous journey to signal for help."
372,"Hidden Figures",7.8,2016,127,"Biography",187310,169.61,"Theodore Melfi","Taraji P. Henson, Octavia Spencer, Janelle Mon¨¢e, Kevin Costner","The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program."
373,"Machete",6.6,2010,105,"Action",186949,26.59,"Ethan Maniquis","Danny Trejo, Michelle Rodriguez, Robert De Niro, Jessica Alba","After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss."
374,"Blue Jasmine",7.3,2013,98,"Drama",186442,33.41,"Woody Allen","Cate Blanchett, Alec Baldwin, Peter Sarsgaard, Sally Hawkins","A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks a million, but isn't bringing money, peace, or love..."
375,"The Babadook",6.8,2014,94,"Drama",186347,0.92,"Jennifer Kent","Essie Davis, Noah Wiseman, Daniel Henshall, Hayley McElhinney","A single mother and her child fall into a deep well of paranoia when an eerie children's book titled ""Mister Babadook"" manifests in their home."
376,"Chef",7.3,2014,114,"Adventure",186042,30.64,"Jon Favreau","Jon Favreau, Robert Downey Jr., Scarlett Johansson, Dustin Hoffman","A head chef quits his restaurant job and buys a food truck in an effort to reclaim his creative promise, while piecing back together his estranged family."
377,"Hanna",6.8,2011,111,"Action",185364,40.26,"Joe Wright","Saoirse Ronan, Cate Blanchett, Eric Bana, Vicky Krieps","A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives."
378,"The Internship",6.3,2013,119,"Comedy",185001,44.67,"Shawn Levy","Vince Vaughn, Owen Wilson, Rose Byrne, Aasif Mandvi","Two salesmen whose careers have been torpedoed by the digital age find their way into a coveted internship at Google, where they must compete with a group of young, tech-savvy geniuses for a shot at employment."
379,"Ice Age: Continental Drift",6.6,2012,88,"Animation",184908,161.32,"Steve Martino","Ray Romano, Denis Leary, John Leguizamo, Aziz Ansari","Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world."
380,"The Croods",7.2,2013,98,"Animation",184234,187.17,"Kirk DeMicco","Nicolas Cage, Ryan Reynolds, Emma Stone, Catherine Keener","After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy."
381,"Project X",6.6,2012,88,"Comedy",184051,54.73,"Nima Nourizadeh","Thomas Mann, Oliver Cooper, Jonathan Daniel Brown, Dax Flame","3 high school seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads."
382,"The Raid: Redemption",7.6,2011,101,"Action",183974,4.11,"Gareth Evans","Iko Uwais, Ananda George, Ray Sahetapy, Donny Alamsyah","A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs."
383,"King Arthur: Legend of the Sword",6.7,2017,126,"Action",182559,39.18,"Guy Ritchie","Charlie Hunnam, Astrid Berg¨¨s-Frisbey, Jude Law, Djimon Hounsou","Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not."
384,"The VVitch: A New-England Folktale",6.9,2015,92,"Drama",181518,25.14,"Robert Eggers","Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Julian Richings","A family in 1630s New England is torn apart by the forces of witchcraft, black magic, and possession."
385,"Tomb Raider",6.3,2018,119,"Action",181193,58.25,"Roar Uthaug","Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu","Lara Croft (Alicia Vikander), the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft (Dominic West) disappeared."
386,"Tinker Tailor Soldier Spy",7.1,2011,122,"Drama",181090,24.15,"Tomas Alfredson","Gary Oldman, Colin Firth, Tom Hardy, Mark Strong","In the bleak days of the Cold War, espionage veteran George Smiley (Gary Oldman) is forced from semi-retirement to uncover a Soviet Agent within MI6."
387,"The Vow",6.8,2012,104,"Drama",179522,125.01,"Michael Sucsy","Rachel McAdams, Channing Tatum, Sam Neill, Jessica Lange","A car accident puts Paige in a coma, and when she wakes up with severe memory loss, her husband Leo works to win her heart again."
388,"Unstoppable",6.8,2010,98,"Action",179354,81.56,"Tony Scott","Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee","With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe."
389,"Mother!",6.6,2017,121,"Drama",178910,17.8,"Darren Aronofsky","Jennifer Lawrence, Javier Bardem, Ed Harris, Michelle Pfeiffer","A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence."
390,"The Magnificent Seven",6.9,2016,132,"Action",178064,93.43,"Antoine Fuqua","Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio","Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist."
391,"Blue Valentine",7.4,2010,112,"Drama",177934,9.74,"Derek Cianfrance","Ryan Gosling, Michelle Williams, John Doman, Faith Wladyka","The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods."
392,"Wrath of the Titans",5.7,2012,99,"Action",177668,83.67,"Jonathan Liebesman","Sam Worthington, Liam Neeson, Rosamund Pike, Ralph Fiennes","Perseus braves the treacherous underworld to rescue his father, Zeus, captured by his son, Ares, and brother Hades who unleash the ancient Titans upon the world."
393,"Shame",7.2,2011,101,"Drama",177623,4,"Steve McQueen","Michael Fassbender, Carey Mulligan, James Badge Dale, Lucy Walters","A sex addict's carefully cultivated private life falls apart after his sister arrives for an indefinite stay."
394,"Assassin's Creed",5.7,2016,115,"Action",177613,54.65,"Justin Kurzel","Michael Fassbender, Marion Cotillard, Jeremy Irons, Brendan Gleeson","Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society."
395,"Shrek Forever After",6.3,2010,93,"Animation",177329,238.37,"Mike Mitchell","Mike Myers, Cameron Diaz, Eddie Murphy, Antonio Banderas","Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme."
396,"The Hitman's Bodyguard",6.9,2017,118,"Action",176912,75.47,"Patrick Hughes","Ryan Reynolds, Samuel L. Jackson, Gary Oldman, Elodie Yung","The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time."
397,"Ted 2",6.3,2015,115,"Comedy",176878,81.48,"Seth MacFarlane","Mark Wahlberg, Seth MacFarlane, Amanda Seyfried, Jessica Barth","Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law."
398,"Toy Story 4",7.8,2019,100,"Animation",176872,434.04,"Josh Cooley","Tom Hanks, Tim Allen, Annie Potts, Tony Hale","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
399,"The Secret Life of Pets",6.5,2016,87,"Animation",176217,368.38,"Chris Renaud","Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell","The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."
400,"The Next Three Days",7.4,2010,133,"Action",176058,21.15,"Paul Haggis","Russell Crowe, Elizabeth Banks, Liam Neeson, Michael Buie","A married couple's life is turned upside down when the wife is accused of a murder."
401,"Captain Fantastic",7.9,2016,118,"Comedy",175758,5.88,"Matt Ross","Viggo Mortensen, George MacKay, Samantha Isler, Annalise Basso","In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
402,"Side Effects 1",7.1,2013,106,"Crime",175421,32.17,"Steven Soderbergh","Rooney Mara, Channing Tatum, Jude Law, Catherine Zeta-Jones","A young woman's world unravels when a drug prescribed by her psychiatrist has unexpected side effects."
403,"Knight and Day",6.3,2010,109,"Action",175136,76.42,"James Mangold","Tom Cruise, Cameron Diaz, Peter Sarsgaard, Jordi Moll¨¤","A young woman gets mixed up with a disgraced spy who is trying to clear his name."
404,"Love & Other Drugs",6.7,2010,112,"Comedy",174496,32.37,"Edward Zwick","Jake Gyllenhaal, Anne Hathaway, Judy Greer, Oliver Platt","A young woman suffering from Parkinson's befriends a drug rep working for Pfizer in 1990s Pittsburgh."
405,"It Chapter Two",6.6,2019,169,"Drama",173914,211.59,"Andy Muschietti","Jessica Chastain, James McAvoy, Bill Hader, Isaiah Mustafa","Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back."
406,"Jupiter Ascending",5.3,2015,127,"Action",173406,47.39,"Lana Wachowski","Channing Tatum, Mila Kunis, Eddie Redmayne, Sean Bean","A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry."
407,"Taken 3",6,2014,108,"Action",173158,89.26,"Olivier Megaton","Liam Neeson, Forest Whitaker, Maggie Grace, Famke Janssen","Accused of a ruthless murder he never committed or witnessed, Bryan Mills goes on the run and brings out his particular set of skills to find the true killer and clear his name."
408,"Straight Outta Compton",7.9,2015,147,"Biography",173139,161.2,"F. Gary Gray","O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell, Neil Brown Jr.","The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood."
409,"This Means War",6.3,2012,103,"Action",171946,54.76,"McG","Reese Witherspoon, Chris Pine, Tom Hardy, Til Schweiger","C.I.A. operatives wage an epic battle on each other when they discover they are dating the same woman."
410,"Dracula Untold",6.3,2014,92,"Action",171884,56.28,"Gary Shore","Luke Evans, Dominic Cooper, Sarah Gadon, Art Parkinson","As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom."
411,"Percy Jackson & the Olympians: The Lightning Thief",5.9,2010,118,"Adventure",171350,88.76,"Chris Columbus","Logan Lerman, Kevin McKidd, Steve Coogan, Brandon T. Jackson","A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods."
412,"Battle Los Angeles",5.7,2011,116,"Action",170918,83.55,"Jonathan Liebesman","Aaron Eckhart, Michelle Rodriguez, Bridget Moynahan, Ramon Rodriguez","A squad of U.S. Marines becomes the last line of defense against a global invasion."
413,"The Judge",7.4,2014,141,"Crime",170386,47.12,"David Dobkin","Robert Downey Jr., Robert Duvall, Vera Farmiga, Billy Bob Thornton","Big-city lawyer Hank Palmer returns to his childhood home where his father, the town's judge, is suspected of murder. Hank sets out to discover the truth and, along the way, reconnects with his estranged family."
414,"The Woman in Black",6.4,2012,95,"Drama",170305,54.33,"James Watkins","Daniel Radcliffe, Janet McTeer, Ciar¨¢n Hinds, Emma Shorey","A young solicitor travels to a remote village where he discovers the vengeful ghost of a scorned woman is terrorizing the locals."
415,"G.I. Joe: Retaliation",5.8,2013,110,"Action",169754,122.52,"Jon M. Chu","Dwayne Johnson, Channing Tatum, Adrianne Palicki, Byung-hun Lee","The G.I. Joes are not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence."
416,"Sausage Party",6.1,2016,89,"Animation",168769,97.69,"Greg Tiernan","Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell","A sausage strives to discover the truth about his existence."
417,"Ocean's 8",6.2,2018,110,"Action",168200,140.22,"Gary Ross","Sandra Bullock, Cate Blanchett, Anne Hathaway, Mindy Kaling","Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala."
418,"War Dogs",7.1,2016,114,"Biography",167676,43.02,"Todd Phillips","Jonah Hill, Miles Teller, Steve Lantz, Gregg Weiner","Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan."
419,"Tomorrowland",6.4,2015,130,"Action",167352,93.44,"Brad Bird","George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy","Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory."
420,"I, Tonya",7.5,2017,119,"Biography",166642,30.01,"Craig Gillespie","Margot Robbie, Sebastian Stan, Allison Janney, Julianne Nicholson","Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes."
421,"A Million Ways to Die in the West",6.1,2014,116,"Comedy",166628,43.14,"Seth MacFarlane","Seth MacFarlane, Charlize Theron, Liam Neeson, Amanda Seyfried","As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his newly found courage to the test when her husband, a notorious gun-slinger, announces his arrival."
422,"Your Name.",8.4,2016,106,"Animation",166544,5.02,"Makoto Shinkai","Ry<U+00FB>nosuke Kamiki, Mone Kamishiraishi, Ry<U+00F4> Narita, Aoi Y<U+00FB>ki","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
423,"The Promise 2",6,2016,133,"Action",166373,51.69,"Terry George","Oscar Isaac, Charlotte Le Bon, Christian Bale, Daniel Gim¨¦nez Cacho","Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris."
424,"Atomic Blonde",6.7,2017,115,"Action",166133,60.97,"David Leitch","Charlize Theron, James McAvoy, John Goodman, Eddie Marsan","An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents."
425,"Get Him to the Greek",6.4,2010,109,"Comedy",166017,80.1,"Nicholas Stoller","Jonah Hill, Russell Brand, Elisabeth Moss, Rose Byrne","A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater."
426,"The Mummy",5.4,2017,110,"Action",165924,3.11,"Alex Kurtzman","Tom Cruise, Sofia Boutella, Annabelle Wallis, Russell Crowe","An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension."
427,"Relatos salvajes",8.1,2014,122,"Comedy",165000,71.63,"Dami¨¢n Szifron","Dar¨ªo Grandinetti, Mar¨ªa Marull, M¨®nica Villa, Diego Starosta","Six short stories that explore the extremities of human behavior involving people in distress."
428,"Mama 1",6.2,2013,100,"Horror",164867,39.32,"Andy Muschietti","Jessica Chastain, Nikolaj Coster-Waldau, Megan Charpentier, Isabelle N¨¦lisse","After a young couple take in their two nieces, they suspect that a supernatural spirit named Mama has latched onto their family."
429,"The Expendables 3",6.1,2014,126,"Action",163603,127.35,"Patrick Hughes","Sylvester Stallone, Jason Statham, Jet Li, Antonio Banderas","Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates."
430,"Anchorman 2: The Legend Continues",6.3,2013,119,"Comedy",163227,13.3,"Adam McKay","Will Ferrell, Christina Applegate, Paul Rudd, Steve Carell","With the 1970s behind them, San Diego's top-rated newsman, Ron Burgundy, returns to take New York City's first twenty-four-hour news channel by storm."
431,"The Tree of Life",6.8,2011,139,"Drama",163000,21.59,"Terrence Malick","Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken","The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings."
432,"Mud",7.4,2012,130,"Drama",162264,62.58,"Jeff Nichols","Matthew McConaughey, Tye Sheridan, Jacob Lofland, Sam Shepard","Two young boys encounter a fugitive and form a pact to help him evade the vigilantes that are on his trail and to reunite him with his true love."
433,"Black Mass",6.9,2015,123,"Biography",162253,75.4,"Scott Cooper","Johnny Depp, Benedict Cumberbatch, Dakota Johnson, Joel Edgerton","The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf."
