"rank","title","rating","year","runTime","genre","votes","gross","director","stars","description"
154,"Brave",7.1,2012,93,"Animation",358727,237.28,"Mark Andrews","Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters","Determined to make her own path in life, Princess Merida (Kelly Macdonald) defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse."
155,"Sicario",7.6,2015,121,"Action",352060,46.89,"Denis Villeneuve","Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal","An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico."
156,"Furious 7",7.2,2015,137,"Action",348737,353.01,"James Wan","Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham","Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother."
157,"The Shape of Water",7.3,2017,123,"Adventure",347880,63.86,"Guillermo del Toro","Sally Hawkins, Octavia Spencer, Michael Shannon, Doug Jones","At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity."
158,"Room 1",8.1,2015,118,"Drama",346424,14.68,"Lenny Abrahamson","Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
159,"Moneyball",7.6,2011,133,"Biography",346026,75.61,"Bennett Miller","Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman","Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players."
160,"Easy A",7.1,2010,92,"Comedy",345184,58.4,"Will Gluck","Emma Stone, Amanda Bynes, Penn Badgley, Dan Byrd","A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing."
161,"Fast Five",7.3,2011,130,"Action",342766,209.84,"Justin Lin","Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster","Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent."
162,"John Wick: Chapter 2",7.5,2017,122,"Action",341415,92.03,"Chad Stahelski","Keanu Reeves, Riccardo Scamarcio, Ian McShane, Ruby Rose","After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life."
163,"Ready Player One",7.5,2018,140,"Action",340482,137.69,"Steven Spielberg","Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe","When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world."
164,"The Big Short",7.8,2015,130,"Biography",338631,70.26,"Adam McKay","Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt","In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is."
165,"127 Hours",7.6,2010,94,"Biography",337703,18.34,"Danny Boyle","James Franco, Amber Tamblyn, Kate Mara, Sean Bott","A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive."
166,"The Town",7.5,2010,125,"Crime",337675,92.19,"Ben Affleck","Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner","A longtime thief, planning his next job, tries to balance his feelings for a bank manager connected to an earlier heist, and a hell-bent F.B.I Agent looking to bring him and his crew down."
167,"Cloud Atlas",7.4,2012,172,"Action",336551,27.11,"Tom Tykwer","Tom Hanks, Halle Berry, Hugh Grant, Hugo Weaving","An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution."
